complicatedOutput.txt 's output
( KEY_WORD , package )
( IDENTIFIER , cn )
( DELIMITER , . )
( IDENTIFIER , edu )
( DELIMITER , . )
( IDENTIFIER , nju )
( DELIMITER , ; )
( KEY_WORD , import )
( IDENTIFIER , com )
( DELIMITER , . )
( IDENTIFIER , sun )
( DELIMITER , . )
( IDENTIFIER , tools )
( DELIMITER , . )
( IDENTIFIER , classfile )
( DELIMITER , . )
( IDENTIFIER , ConstantPool )
( DELIMITER , ; )
( KEY_WORD , import )
( IDENTIFIER , java )
( DELIMITER , . )
( IDENTIFIER , util )
( DELIMITER , . )
( IDENTIFIER , ArrayList )
( DELIMITER , ; )
( KEY_WORD , import )
( IDENTIFIER , java )
( DELIMITER , . )
( IDENTIFIER , util )
( DELIMITER , . )
( IDENTIFIER , List )
( DELIMITER , ; )
( ANNOTATION , /* )
( ANNOTATION , */ )
( KEY_WORD , public )
( KEY_WORD , class )
( IDENTIFIER , Lex )
( DELIMITER , { )
( KEY_WORD , private )
( IDENTIFIER , char )
( DELIMITER , [ )
( DELIMITER , ] )
( IDENTIFIER , inputSeq )
( DELIMITER , ; )
( KEY_WORD , private )
( IDENTIFIER , List )
( OPERATOR , < )
( IDENTIFIER , Token )
( OPERATOR , > )
( IDENTIFIER , tokens )
( OPERATOR , = )
( KEY_WORD , new )
( IDENTIFIER , ArrayList )
( OPERATOR , < )
( IDENTIFIER , Token )
( INVALID_IDENTIFIER , /(3000); )
( KEY_WORD , private )
( KEY_WORD , int )
( IDENTIFIER , offset )
( OPERATOR , = )
( INT , 0 )
( DELIMITER , ; )
( KEY_WORD , private )
( KEY_WORD , int )
( IDENTIFIER , fileSize )
( DELIMITER , ; )
( KEY_WORD , public )
( IDENTIFIER , Lex )
( DELIMITER , ( )
( IDENTIFIER , char )
( DELIMITER , [ )
( DELIMITER , ] )
( IDENTIFIER , inputSeq )
( DELIMITER , ) )
( DELIMITER , { )
( IDENTIFIER , this )
( DELIMITER , . )
( IDENTIFIER , inputSeq )
( OPERATOR , = )
( IDENTIFIER , inputSeq )
( DELIMITER , ; )
( IDENTIFIER , fileSize )
( OPERATOR , = )
( IDENTIFIER , inputSeq )
( DELIMITER , . )
( IDENTIFIER , length )
( DELIMITER , ; )
( DELIMITER , } )
( KEY_WORD , public )
( IDENTIFIER , List )
( OPERATOR , < )
( IDENTIFIER , Token )
( OPERATOR , > )
( IDENTIFIER , output )
( DELIMITER , ( )
( DELIMITER , ) )
( DELIMITER , { )
( IDENTIFIER , process )
( DELIMITER , ( )
( DELIMITER , ) )
( DELIMITER , ; )
( KEY_WORD , return )
( IDENTIFIER , tokens )
( DELIMITER , ; )
( DELIMITER , } )
( KEY_WORD , private )
( KEY_WORD , void )
( IDENTIFIER , process )
( DELIMITER , ( )
( DELIMITER , ) )
( DELIMITER , { )
( KEY_WORD , char )
( IDENTIFIER , tempC )
( DELIMITER , ; )
( IDENTIFIER , StringBuffer )
( IDENTIFIER , buffer )
( OPERATOR , = )
( KEY_WORD , new )
( IDENTIFIER , StringBuffer )
( DELIMITER , ( )
( INT , 10000 )
( DELIMITER , ) )
( DELIMITER , ; )
( KEY_WORD , boolean )
( IDENTIFIER , isLineAnnotation )
( OPERATOR , = )
